Any,id_rs,rs,id_aga,aga,sexe,edat,Nse_baix,Nou_pacient,pcsm,pccsm,pacients,visites,Poblacio
2016,61,LLEIDA,5,Lleida,1,35-44,0,1,0,0,282,741,27222
2016,61,LLEIDA,5,Lleida,1,35-44,0,1,1,0,45,166,27222
2016,61,LLEIDA,5,Lleida,1,35-44,0,1,1,1,28,143,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,0,0,0,90,406,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,0,1,0,46,311,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,0,1,1,110,1075,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,1,0,0,73,160,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,1,1,0,15,34,27222
2016,61,LLEIDA,5,Lleida,1,35-44,1,1,1,1,25,151,27222
2016,61,LLEIDA,5,Lleida,1,45-54,0,0,0,0,286,1253,24470
2016,61,LLEIDA,5,Lleida,1,45-54,0,0,1,0,139,786,24470
2016,61,LLEIDA,5,Lleida,1,45-54,0,0,1,1,185,1335,24470
2016,61,LLEIDA,5,Lleida,1,45-54,0,1,0,0,249,646,24470
2016,61,LLEIDA,5,Lleida,1,45-54,0,1,1,0,49,178,24470
2016,61,LLEIDA,5,Lleida,1,45-54,0,1,1,1,33,101,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,0,0,0,115,604,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,0,1,0,60,399,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,0,1,1,156,1240,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,1,0,0,74,158,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,1,1,0,12,73,24470
2016,61,LLEIDA,5,Lleida,1,45-54,1,1,1,1,31,105,24470
2016,61,LLEIDA,5,Lleida,1,55-64,0,0,0,0,267,1086,19429
2016,61,LLEIDA,5,Lleida,1,55-64,0,0,1,0,112,602,19429
2016,61,LLEIDA,5,Lleida,1,55-64,0,0,1,1,184,1051,19429
2016,61,LLEIDA,5,Lleida,1,55-64,0,1,0,0,184,441,19429
2016,61,LLEIDA,5,Lleida,1,55-64,0,1,1,0,30,113,19429
2016,61,LLEIDA,5,Lleida,1,55-64,0,1,1,1,34,75,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,0,0,0,131,516,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,0,1,0,74,345,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,0,1,1,171,884,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,1,0,0,85,224,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,1,1,0,21,77,19429
2016,61,LLEIDA,5,Lleida,1,55-64,1,1,1,1,31,96,19429
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,0,0,0,213,1239,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,0,1,0,46,334,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,0,1,1,6,61,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,1,0,0,140,559,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,1,1,0,11,39,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,0,1,1,1,1,5,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,0,0,0,72,420,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,0,1,0,23,188,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,0,1,1,6,71,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,1,0,0,58,257,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,1,1,0,11,104,13216
2016,61,LLEIDA,5,Lleida,1,6.joulu,1,1,1,1,3,22,13216
2016,61,LLEIDA,5,Lleida,1,65-74,0,0,0,0,125,422,15744
2016,61,LLEIDA,5,Lleida,1,65-74,0,0,1,0,53,207,15744
2016,61,LLEIDA,5,Lleida,1,65-74,0,0,1,1,150,677,15744
2016,61,LLEIDA,5,Lleida,1,65-74,0,1,0,0,84,198,15744
2016,61,LLEIDA,5,Lleida,1,65-74,0,1,1,0,11,30,15744
2016,61,LLEIDA,5,Lleida,1,65-74,0,1,1,1,38,100,15744
2016,61,LLEIDA,5,Lleida,1,65-74,1,0,0,0,106,330,15744
