"","any","id_rs","rs","id_aga","aga","sexe","grup_edat","nse_baix","nou_pacient","pcsm","pccsm","pacients","visites"
"120",2016,"61","LLEIDA","05","Lleida",1,"<6",1,1,1,0,1,2
"121",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,0,0,0,269,1779
"122",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,0,1,0,58,552
"123",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,0,1,1,28,294
"124",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,1,0,0,138,830
"125",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,1,1,0,28,246
"126",2016,"61","LLEIDA","05","Lleida",1,"13-17",0,1,1,1,6,82
"127",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,0,0,0,58,545
"128",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,0,1,0,10,90
"129",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,0,1,1,21,195
"130",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,1,0,0,26,126
"131",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,1,1,0,1,4
"132",2016,"61","LLEIDA","05","Lleida",1,"13-17",1,1,1,1,2,3
"133",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,0,0,0,118,548
"134",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,0,1,0,57,489
"135",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,0,1,1,48,370
"136",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,1,0,0,123,338
"137",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,1,1,0,39,193
"138",2016,"61","LLEIDA","05","Lleida",1,"18-24",0,1,1,1,8,41
"139",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,0,0,0,21,92
"140",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,0,1,0,7,40
"141",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,0,1,1,28,182
"142",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,1,0,0,27,77
"143",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,1,1,0,2,5
"144",2016,"61","LLEIDA","05","Lleida",1,"18-24",1,1,1,1,1,1
"145",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,0,0,0,120,623
"146",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,0,1,0,63,497
"147",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,0,1,1,64,533
"148",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,1,0,0,169,399
"149",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,1,1,0,35,153
"150",2016,"61","LLEIDA","05","Lleida",1,"25-34",0,1,1,1,19,74
"151",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,0,0,0,34,157
"152",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,0,1,0,17,86
"153",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,0,1,1,51,421
"154",2016,"61","LLEIDA","05","Lleida",1,"25-34",1,1,0,0,57,129
